Iteration,accuracy
0,78.5057366266
1,85.9961018407
2,85.9961022929
3,78.4902026277
4,86.0717800102
5,85.2959213072
6,85.2788807858
7,85.301935993
8,85.2117200009
9,85.2217428529
10,85.2603343951
11,78.4656420535
12,79.2836053157
13,78.5979558729
14,85.9890839704
15,80.0283758
16,86.0116355382
17,86.0031167721
18,79.2916225273
19,83.0044191209
20,86.0031147374
21,79.2991434593
22,80.0539403876
23,79.2440098104
24,79.2339843962
25,79.2545354729
26,85.28088404
27,79.2344877845
28,79.2886141293
29,78.5307965449
Done.,
 Mean Accuracy is  82.29097 Standard deviation is  313.743622,
